"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019 2020,,2020,2018,2019 2020 2020
United States,"18,079,084,000","18,606,787,000 19,032,672,000 18,384,687,000",,--,,2.9 2.3 -3.4 --
Alabama,"197,566,622","200,800,889 203,383,898 196,906,061",,--,,1.6 1.3 -3.2 --
Autauga,"1,587,695","1,602,077 1,540,762 1,520,973",,24,,0.9 -3.8 -1.3 17
Baldwin,"6,453,588","6,799,715 7,134,734 6,985,901",,7,,5.4 4.9 -2.1 18
Barbour,"721,125","730,518 729,105 687,074",,41,,1.3 -0.2 -5.8 55
Bibb,"353,234","353,016 380,453 388,330",,55,,-0.1 7.8 2.1 3
Blount,"920,401","967,135 932,215 881,874",,35,,5.1 -3.6 -5.4 53
Bullock,"225,304","235,358 247,229 250,385",,63,,4.5 5.0 1.3 4
Butler,"584,855","609,244 615,641 574,717",,43,,4.2 1.1 -6.6 59
Calhoun,"3,904,458","3,959,304 4,114,829 3,982,561",,11,,1.4 3.9 -3.2 31
Chambers,"785,046","807,107 817,533 808,162",,36,,2.8 1.3 -1.1 16
Cherokee,"508,778","540,834 527,358 475,640",,48,,6.3 -2.5 -9.8 66
Chilton,"880,016","918,168 980,365 957,204",,33,,4.3 6.8 -2.4 21
Choctaw,"505,673","546,076 492,926 488,633",,47,,8.0 -9.7 -0.9 13
Clarke,"728,113","750,365 736,710 730,025",,39,,3.1 -1.8 -0.9 14
Clay,"368,300","444,465 419,318 407,934",,52,20.7,-5.7 -2.7 24
Cleburne,"297,209","302,347 274,512 260,207",,62,,1.7 -9.2 -5.2 51
Coffee,"1,301,763","1,326,701 1,315,749 1,249,738",,27,,1.9 -0.8 -5.0 50
Colbert,"2,268,306","2,363,329 2,341,000 2,367,932",,18,,4.2 -0.9 1.2 5
Conecuh,"538,017","488,194 466,540 435,791",,50,,-9.3 -4.4 -6.6 58
Coosa,"169,996","178,018 176,482 180,648",,67,,4.7 -0.9 2.4 2
Covington,"1,165,463","1,166,050 1,100,109 1,051,514",,32,,0.1 -5.7 -4.4 43
Crenshaw,"419,898","448,270 428,320 374,307",,57,,6.8 -4.5 -12.6 67
Cullman,"2,598,508","2,601,327 2,649,646 2,567,437",,15,,0.1 1.9 -3.1 29
Dale,"2,591,882","2,514,046 2,522,516 2,427,204",,17,,-3.0 0.3 -3.8 38
Dallas,"1,118,491","1,122,110 1,102,126 1,053,089",,31,,0.3 -1.8 -4.4 44
DeKalb,"1,847,471","1,921,659 1,857,673 1,777,822",,21,,4.0 -3.3 -4.3 41
Elmore,"1,777,348","1,789,092 1,809,270 1,709,154",,22,,0.7 1.1 -5.5 54
Escambia,"1,238,865","1,215,138 1,206,764 1,153,705",,30,,-1.9 -0.7 -4.4 42
Etowah,"2,809,493","2,841,049 2,766,192 2,563,314",,16,,1.1 -2.6 -7.3 63
Fayette,"320,476","316,814 321,519 305,877",,59,,-1.1 1.5 -4.9 46
Franklin,"907,706","962,638 926,671 890,896",,34,,6.1 -3.7 -3.9 39
Geneva,"503,896","502,402 526,336 488,863",,46,,-0.3 4.8 -7.1 61
Greene,"210,124","209,945 218,149 197,615",,65,,-0.1 3.9 -9.4 65
Hale,"271,623","246,837 241,685 241,617",,64,,-9.1 -2.1 0.0 8
Henry,"391,731","396,376 407,934 389,768",,54,,1.2 2.9 -4.5 45
Houston,"4,867,988","4,880,057 4,957,322 4,788,927",,10,,0.2 1.6 -3.4 32
Jackson,"1,378,489","1,437,962 1,381,755 1,313,862",,25,,4.3 -3.9 -4.9 48
Jefferson,"40,364,992","41,028,930 41,244,762 39,199,550",,1,,1.6 0.5 -5.0 49
Lamar,"309,283","304,861 305,015 287,202",,60,,-1.4 0.1 -5.8 56
Lauderdale,"2,374,775","2,371,552 2,367,072 2,298,418",,19,,-0.1 -0.2 -2.9 25
Lawrence,"478,923","504,193 501,518 524,136",,45,,5.3 -0.5 4.5 1
Lee,"5,448,360","5,389,074 5,603,187 5,570,011",,8,,-1.1 4.0 -0.6 10
Limestone,"3,411,295","3,385,841 3,572,973 3,482,707",,12,,-0.7 5.5 -2.5 23
Lowndes,"418,011","399,841 377,807 363,769",,58,,-4.3 -5.5 -3.7 35
Macon,"487,572","481,537 478,726 475,374",,49,,-1.2 -0.6 -0.7 11
Madison,"21,789,269","22,720,023 23,670,284 23,543,852",,2,,4.3 4.2 -0.5 9
Marengo,"642,708","672,252 681,595 674,690",,42,,4.6 1.4 -1.0 15
Marion,"798,214","810,967 792,988 763,653",,37,,1.6 -2.2 -3.7 34
Marshall,"3,164,613","3,245,603 3,276,199 3,200,499",,13,,2.6 0.9 -2.3 20
Mobile,"18,215,505","18,455,706 18,652,926 18,079,418",,3,,1.3 1.1 -3.1 28
Monroe,"658,871","629,022 599,556 568,233",,44,,-4.5 -4.7 -5.2 52
Montgomery,"12,569,243","12,524,276 12,558,288 12,182,340",,4,,-0.4 0.3 -3.0 27
Morgan,"5,034,458","5,104,998 5,135,887 5,092,131",,9,,1.4 0.6 -0.9 12
Perry,"199,944","196,637 192,844 183,394",,66,,-1.7 -1.9 -4.9 47
Pickens,"433,779","427,099 429,936 404,316",,53,,-1.5 0.7 -6.0 57
Pike,"1,304,003","1,285,265 1,286,294 1,235,839",,28,,-1.4 0.1 -3.9 40
Randolph,"474,844","484,942 464,111 425,424",,51,,2.1 -4.3 -8.3 64
Russell,"1,323,460","1,315,599 1,313,851 1,285,414",,26,,-0.6 -0.1 -2.2 19
St. Clair,"1,822,443","1,872,929 1,871,513 1,824,570",,20,,2.8 -0.1 -2.5 22
Shelby,"10,468,422","10,673,132 10,814,962 10,500,006",,5,,2.0 1.3 -2.9 26
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Sumter,"308,764","302,068 294,189","283,683",61,,-2.2 -2.6 -3.6 33
Talladega,"2,867,439","2,894,807 2,864,298","2,756,664",14,,1.0 -1.1 -3.8 37
Tallapoosa,"1,190,058","1,213,743 1,265,550","1,225,259",29,,2.0 4.3 -3.2 30
Tuscaloosa,"9,788,372","9,884,658 10,491,624","10,098,832",6,,1.0 6.1 -3.7 36
Walker,"1,875,503","1,886,388 1,694,530","1,577,350",23,,0.6 -10.2 -6.9 60
Washington,"753,456","742,567 789,922","732,077",38,,-1.4 6.4 -7.3 62
Wilcox,"392,873","416,036 384,636","385,496",56,,5.9 -7.5 0.2 7
Winston,"644,729","645,050 698,066","700,955",40,,0.0 8.2 0.4 6
Alaska,"54,129,532","53,249,592 53,336,499","50,160,992",--,,-1.6 0.2 -6.0 --
Aleutians East Borough,"225,524","196,977 211,829","190,988",19,-12.7,7.5 -9.8 19
Aleutians West Census Area,"385,386","375,677 372,939","360,360",14,,-2.5 -0.7 -3.4 12
Anchorage Municipality,"21,145,131","21,275,142 21,096,610","20,006,260",1,,0.6 -0.8 -5.2 15
Bethel Census Area,"664,874","672,009 669,380","647,483",9,,1.1 -0.4 -3.3 11
Bristol Bay Borough,"120,325","130,396 125,131","107,600",22,,8.4 -4.0 -14.0 25
Chugach Census Area1,,(NA) (NA) (NA),(NA),--,(NA),(NA) (NA) --
Copper River Census Area1,,(NA) (NA) (NA),(NA),--,(NA),(NA) (NA) --
Denali Borough,"260,727","262,098 259,591","203,501",18,,0.5 -1.0 -21.6 26
Dillingham Census Area,"244,154","244,349 239,239","215,253",17,,0.1 -2.1 -10.0 20
Fairbanks North Star Borough,"5,355,362","5,291,435 5,254,634","5,092,503",3,,-1.2 -0.7 -3.1 10
Haines Borough,"102,946","109,959 108,666","85,107",25,,6.8 -1.2 -21.7 27
Hoonah-Angoon Census Area,"95,606","96,138 99,646","90,774",24,,0.6 3.6 -8.9 18
Juneau City and Borough,"2,386,873","2,348,798 2,302,465","2,183,825",6,,-1.6 -2.0 -5.2 14
Kenai Peninsula Borough,"2,922,115","2,628,605 2,703,389","2,661,120",4,-10.0,2.8 -1.6 8
Ketchikan Gateway Borough,"822,684","819,401 838,509","745,136",7,,-0.4 2.3 -11.1 21
Kodiak Island Borough,"720,140","703,425 717,581","680,484",8,,-2.3 2.0 -5.2 16
Kusilvak Census Area,"139,030","141,127 141,922","141,436",21,,1.5 0.6 -0.3 4
Lake and Peninsula Borough,"88,522","93,420 85,613","74,371",26,,5.5 -8.4 -13.1 24
Matanuska-Susitna Borough,"2,403,156","2,443,285 2,556,968","2,534,009",5,,1.7 4.7 -0.9 5
Nome Census Area,"413,472","409,188 407,769","395,401",12,,-1.0 -0.3 -3.0 9
North Slope Borough,"10,980,176","10,050,255 10,389,622","9,143,816",2,,-8.5 3.4 -12.0 22
Northwest Arctic Borough,"701,856","688,496 666,604","620,696",11,,-1.9 -3.2 -6.9 17
Petersburg Borough,"180,167","180,505 185,348","184,819",20,,0.2 2.7 -0.3 3
Prince of Wales-Hyder Census Area,"246,890","251,947 263,853","260,584",15,,2.0 4.7 -1.2 7
Sitka City and Borough,"435,881","444,383 441,235","385,262",13,,2.0 -0.7 -12.7 23
Skagway Municipality,"102,737","98,621 99,677","70,752",27,,-4.0 1.1 -29.0 28
Southeast Fairbanks Census Area,"692,558","658,023 602,812","622,826",10,,-5.0 -8.4 3.3 2
Valdez-Cordova Census Area1,"2,132,610","2,098,601 2,255,039",(NA),--,,-1.6 7.5 (NA) --
Wrangell City and Borough,"98,909","99,074 94,807","93,843",23,,0.2 -4.3 -1.0 6
Yakutat City and Borough,"25,689","26,876 28,935","30,972",28,,4.6 7.7 7.0 1
Yukon-Koyukuk Census Area,"260,791","273,293 270,179","256,635",16,,4.8 -1.1 -5.0 13
